date, pm25, pm10, o3, no2, so2, co
2022/11/14, 15, 33, 31, 22, 1, 1
2022/11/15, 18, 28, 10, 27, 2, 4
2022/11/16, 28, 22, 17, 28, 2, 4
2022/11/17, 32, 16, 16, 19, 1, 2
2022/11/18, 21, 21, 6, 20, 1, 4
2022/11/19, 30, 24, 5, 19, 1, 3
2022/11/20, 29, 24, 3, 20, 1, 4
2022/11/21, 37, 19, 1, 18, 2, 3
2022/11/22, 28, 17, 1, 17, 2, 2
2022/11/23, 17, 19, 14, 18, 1, 2
2022/11/24, 29, 15, 14, 21, 1, 3
2022/11/25, 26, 14, 8, 21, 1, 3
2022/11/26, 26, 16, 4, 19, 1, 4
2022/11/27, 27, 18, 13, 22, 1, 3
2022/11/28, 32, 20, 13, 25, , 3
2022/11/29, 35, 41, , 32, 1, 5
2022/11/30, 58, 59, , 36, 2, 7
2022/12/1, 85, 57, , 34, 1, 7
2022/12/2, 76, 43, 6, 26, , 4
2022/12/3, 63, 21, 2, 20, , 2
2022/12/4, 34, 22, 5, 29, 1, 1
2022/12/5, 27, 18, 12, 25, 2, 
2022/12/6, 24, , 3, , , 
2022/12/8, 25, 29, 2, , , 2
2022/12/9, 50, 39, , , , 5
2022/12/10, 53, 39, , , , 5
2022/12/11, 32, 10, 5, , , 3
2022/12/12, 18, 10, 6, , , 4
2022/12/13, 19, 15, 9, , , 2
2022/12/14, 24, 14, 9, , , 2
2022/12/15, 27, 17, 8, , 1, 3
2022/12/16, 28, 22, 3, , , 3
2022/12/17, 38, 15, 9, , , 1
2022/12/18, 23, 13, 9, , , 2
2022/12/19, 25, 10, 13, , , 2
2022/12/20, 14, 17, 5, , , 2
2022/12/21, 35, 11, 4, , , 2
2022/12/22, 16, 15, 4, , , 2
2022/12/23, 25, 14, 4, , , 2
2022/12/24, 23, 11, 15, , , 1
2022/12/25, 14, 16, 16, , , 3
2022/12/26, 24, 12, 11, , 1, 3
2022/12/27, 24, 21, 3, , 1, 5
2022/12/28, 27, 16, 11, , , 4
2022/12/29, 24, 23, , , 1, 4
2022/12/30, 42, 12, 14, , , 3
2022/12/31, 22, 5, 12, , , 2
2023/1/1, 10, 5, 18, , , 1
2022/7/1, 20, 23, 55, 23, 1, 
2022/7/2, 21, 21, 51, 20, 1, 1
2022/7/3, 21, 25, 51, 27, , 1
2022/7/4, 27, 35, 43, 42, , 3
2022/7/5, 41, 30, 48, 37, , 2
2022/7/6, 32, 29, 56, , , 1
2022/7/7, 41, 18, 47, , , 3
2022/7/8, 11, 32, 45, , , 4
2022/7/9, 30, 23, 53, , , 3
2022/7/10, 32, 28, 30, , , 3
2022/7/11, 26, 21, 17, 17, , 2
2022/7/12, 22, 24, 9, 32, , 
2022/7/13, 24, 33, 19, 36, , 
2022/7/14, 27, 16, 13, 17, , 
2022/7/15, 19, 16, 14, 18, , 
2022/7/16, 18, 16, 16, 19, , 
2022/7/17, 17, 18, 14, 24, , 2
2022/7/18, 19, 13, 11, 14, , 2
2022/7/19, 11, 14, 13, 17, , 2
2022/7/20, 15, 14, 15, 19, , 4
2022/7/21, 16, 24, 17, 24, , 4
2022/7/22, 21, 27, 26, 24, , 3
2022/7/23, 27, 27, 18, 24, , 3
2022/7/24, 27, 22, 56, 25, , 2
2022/7/25, 27, 27, 55, 27, 1, 2
2022/7/26, 31, 40, 60, 32, , 
2022/7/27, 43, 31, 43, 27, , 1
2022/7/28, 39, 14, 36, 13, , 2
2022/7/29, 11, 13, 43, 15, , 
2022/7/30, 13, 24, 50, 28, , 3
2022/7/31, 22, 26, 59, 34, 1, 3
2022/8/1, 26, 25, 45, 30, , 3
2022/8/2, 25, 39, 58, 41, 1, 4
2022/8/3, 38, 36, 65, 40, , 4
2022/8/4, 34, 41, 59, 39, 1, 5
2022/8/5, 41, 41, 77, 32, 1, 4
2022/8/6, 40, 34, 54, 26, , 2
2022/8/7, 36, 23, 22, 22, , 2
2022/8/8, 28, 22, 33, 21, , 1
2022/8/9, 17, 25, 33, 21, , 2
2022/8/10, 22, 23, 44, 28, , 3
2022/8/11, 21, 28, 70, 31, 4, 2
2022/8/12, 28, 37, 72, 36, , 4
2022/8/13, 35, 38, 87, 41, , 5
2022/8/14, 38, 37, 46, 36, , 5
2022/8/15, 39, 34, 43, 32, 2, 4
2022/8/16, 31, 40, 63, 36, 1, 5
2022/8/17, 39, 51, 58, 40, 2, 5
2022/8/18, 51, 47, 44, 32, , 4
2022/8/19, 36, 47, 27, 31, , 5
2022/8/20, 44, 50, 40, 25, 3, 4
2022/8/21, 58, 56, 53, 37, 6, 4
2022/8/22, 71, 47, 48, 35, 4, 4
2022/8/23, 53, 46, 55, 39, 1, 5
2022/8/24, 44, 51, 74, 46, 1, 7
2022/8/25, 45, 53, 63, 48, 1, 7
2022/8/26, 54, 63, 9, 53, 4, 8
2022/8/27, 63, 64, 50, 42, 5, 8
2022/8/28, 75, 56, 47, 25, 1, 5
2022/8/29, 59, 34, 50, 23, , 2
2022/8/30, 38, , 29, 15, , 2
2022/8/31, 26, , 20, 12, , 1
2022/9/1, 9, , 22, 14, , 1
2022/9/2, 9, , 27, 17, , 2
2022/9/3, 14, , 28, 15, , 1
2022/9/4, 12, , 10, 16, , 3
2022/9/5, 13, , 18, 14, , 1
2022/9/6, 12, , 18, 15, , 1
2022/9/7, 13, , 11, 15, , 3
2022/9/8, 14, , 21, 19, , 2
2022/9/9, 16, , 19, 28, 1, 6
2022/9/10, 34, , 28, 28, 1, 4
2022/9/11, 37, , 17, 28, 1, 5
2022/9/12, 34, , 21, 28, , 4
2022/9/13, 26, 16, 18, 20, , 3
2022/9/14, 25, 14, 3, 19, , 3
2022/9/15, 20, 24, 8, 25, , 4
2022/9/16, 32, 18, 27, 19, , 1
2022/9/17, 18, 17, 14, 22, , 4
2022/9/18, 24, 9, 19, 13, , 2
2022/9/19, 11, , 15, 14, , 1
2022/9/20, 16, , 9, 26, 2, 6
2022/9/21, 34, , 10, 21, 1, 4
2022/9/22, 26, , 17, 21, 1, 4
2022/9/23, 25, , 4, 11, , 2
2022/9/24, 12, , 2, 12, , 3
2022/9/25, 14, , 2, 12, , 3
2022/9/26, 19, , 8, 20, , 6
2022/9/27, 26, , 14, 17, , 2
2022/9/28, 15, , 6, 20, , 3
2022/9/29, 25, , 9, 22, , 3
2022/9/30, 34, , 2, 21, 1, 4
2022/5/29, 15, 22, 41, 27, , 
2022/5/30, 19, 26, 16, 40, , 3
2022/5/31, 34, 31, 36, 33, 1, 2
2022/6/1, 31, 24, 42, 24, , 1
2022/6/2, 26, 22, 34, 26, , 2
2022/6/3, 31, 18, 42, 18, , 1
2022/6/4, 16, 25, 37, 23, , 2
2022/6/5, 23, 20, 39, 20, , 1
2022/6/6, 18, 21, 41, 24, , 1
2022/6/7, 19, 30, 7, 34, , 2
2022/6/8, 28, 41, 62, 39, , 3
2022/6/9, 39, 31, 46, 28, , 2
2022/6/10, 31, 34, 35, 34, , 2
2022/6/11, 31, 32, 49, 33, 1, 3
2022/6/12, 35, 29, 32, 30, , 2
2022/6/13, 36, 29, 32, 29, , 3
2022/6/14, 36, 15, 24, 14, , 
2022/6/15, 13, 15, 26, 16, , 1
2022/6/16, 15, 18, 20, 24, , 1
2022/6/17, 18, 17, 28, 19, , 1
2022/6/18, 15, 21, 31, 18, , 1
2022/6/19, 19, 15, 30, 15, , 
2022/6/20, 19, 23, 13, 34, , 3
2022/6/21, 30, 33, 27, 25, 1, 2
2022/6/22, 29, 28, 42, 25, 1, 1
2022/6/23, 25, 26, 42, 25, 1, 1
2022/6/24, 24, 33, 59, 29, 1, 2
2022/6/25, 32, 34, 78, 27, , 2
2022/6/26, 34, 39, 52, 29, , 3
2022/6/27, 44, 32, 46, 28, , 2
2022/6/28, 32, 24, 52, 25, 1, 1
2022/6/29, 22, 27, 44, 28, , 1
2022/6/30, 24, 25, 43, 22, , 1
2022/1/3, 17, 25, 7, 27, , 3
2022/1/4, 45, 21, 6, 25, , 3
2022/1/5, 37, 24, , 22, , 2
2022/1/6, 28, 8, , 14, , 1
2022/1/7, 10, 9, , 15, , 1
2022/1/8, 14, 11, , 23, , 2
2022/1/9, 20, 20, , 28, , 3
2022/1/10, 34, 13, , 17, , 2
2022/1/11, 22, 12, , 23, , 3
2022/1/12, 19, 12, , 28, , 2
2022/1/13, 22, 7, , 19, , 2
2022/1/14, 11, 10, , 16, , 1
2022/1/15, 12, 7, , 17, , 2
2022/1/16, 9, 5, 14, 18, , 1
2022/1/17, 15, 16, 22, 19, , 1
2022/1/18, 26, 10, 26, 24, , 2
2022/1/19, 18, 8, 20, 15, , 1
2022/1/20, 14, 20, 14, 25, , 2
2022/1/21, 39, 25, 14, 31, , 4
2022/1/22, 43, 31, 17, 26, , 3
2022/1/23, 53, 26, 1, 31, , 4
2022/1/24, 49, 16, 6, 28, , 3
2022/1/25, 32, 16, 17, 26, , 3
2022/1/26, 23, 7, 28, 23, , 2
2022/1/27, 13, 14, 18, 23, , 1
2022/1/28, 27, 42, 7, 34, , 6
2022/1/29, 67, 13, 28, 15, , 2
2022/1/30, 25, 19, 29, 30, , 4
2022/1/31, 38, 23, 16, 27, , 3
2022/2/1, 36, 9, 21, 20, , 1
2022/2/2, 17, 28, 10, 40, , 4
2022/2/3, 48, 43, 10, 39, , 4
2022/2/4, 64, 29, 10, 34, , 4
2022/2/5, 49, 30, 5, 33, , 3
2022/2/6, 54, 25, 9, 32, , 3
2022/2/7, 48, 16, 28, 25, , 2
2022/2/8, 25, 9, 27, 22, , 2
2022/2/9, 13, 8, 27, 24, , 2
2022/2/10, 13, 8, 30, 24, , 3
2022/2/11, 9, 9, 32, 20, , 2
2022/2/12, 14, 8, 38, 17, , 1
2022/2/13, 10, 12, 35, 20, , 1
2022/2/14, 15, 20, 34, 25, , 1
2022/2/15, 31, 22, 31, 21, , 2
2022/2/16, 30, 16, 33, 21, , 1
2022/2/17, 28, 11, 29, 22, , 2
2022/2/18, 19, 6, 29, 18, , 2
2022/2/19, 12, 8, 32, 14, , 1
2022/2/20, 11, 10, 30, 18, , 1
2022/2/21, 9, , , , , 
2022/2/23, 14, 31, 25, 22, , 2
2022/2/24, 19, 31, 32, 29, , 1
2022/2/25, 27, 32, 31, 23, , 2
2022/2/26, 25, 45, 39, 17, , 1
2022/2/27, 21, 45, 26, 26, , 2
2022/2/28, 26, 60, , 39, 1, 4
2022/3/1, 38, , , , , 
2021/10/1, 59, 14, 3, 22, , 6
2021/10/2, 62, 19, 4, 18, , 5
2021/10/3, 69, , , 20, , 4
2021/10/9, 34, 39, , 23, , 6
2021/10/10, 39, 37, , 26, , 5
2021/10/11, 37, 38, , 26, 1, 4
2021/10/12, 43, 36, , 21, 1, 5
2021/10/13, 44, 39, , 18, , 6
2021/10/14, 50, 15, , 12, , 3
2021/10/15, 20, 16, , 11, , 2
2021/10/16, 17, 15, , 12, , 1
2021/10/17, 20, 12, , 13, , 2
2021/10/18, 13, 13, , 11, , 2
2021/10/19, 7, , , , , 
2021/10/21, 8, 21, , 14, , 3
2021/10/22, 22, 17, , 16, , 1
2021/10/23, 16, 10, , 12, , 1
2021/10/24, 12, 20, , 19, , 2
2021/10/25, 15, 22, , 19, , 3
2021/10/26, 17, 28, , 19, , 3
2021/10/27, 25, 15, , 15, , 3
2021/10/28, 21, 20, , 19, , 2
2021/10/29, 15, 18, 24, 12, , 2
2021/10/30, 15, 21, 16, 15, , 2
2021/10/31, 24, 43, 19, 21, , 5
2021/11/1, 48, 69, 2, 28, , 13
2021/11/2, 78, 30, 9, 16, , 5
